time,N=2,N=20,N=100,N=500,N=1000
0.4,83.873596956,80.6683816364,79.6931549078,79.0486431757,79.1458788569
0.402,85.3266691019,81.5461586152,80.3804735648,79.6422339676,79.7212373599
0.404,84.8218322424,81.473414474,80.3804712415,79.6422316657,79.7212350557
0.406,86.1432833027,81.9835306244,80.7800738165,80.1434032737,80.2464708724
0.408,86.2419017598,81.9835311452,80.7800743297,80.1434037829,80.2464713822
0.41,86.0103735511,81.9244585305,80.705444096,80.0904457968,80.1994840076
0.412,85.9297355767,81.8957749146,80.6731744746,80.0593342122,80.1682254544
0.414,85.4615277245,81.6146496453,80.320297018,79.6952124226,79.7998984875
0.416,85.6647950917,81.7806997876,80.5350930812,79.92121819,80.0290583591
0.418,85.8413538365,81.9428103602,80.7396034074,80.1338752573,80.2440267529
0.42,87.1790081202,83.0949502162,82.0424458031,81.4063548769,81.5127592929
0.422,87.3077478566,83.1900194378,82.1324494414,81.4877454432,81.5927758062
0.424,88.058104562,83.809471786,82.802199487,82.1620644841,82.2712563779
0.426,86.9545027279,82.8833223434,81.8077133983,81.1716062801,81.2783436981
0.428,86.4096755677,82.3826088868,81.2458580217,80.5994602374,80.7021916993
0.43,85.6936224871,81.7248815398,80.5342364395,79.8910598893,79.9925562944
0.432,85.9653116507,81.9821186307,80.8132414979,80.1709941917,80.2735503068
0.434,85.9599797576,81.9768815297,80.8071284072,80.1647999623,80.267320984
0.436,87.0072075642,82.9597206551,81.8250134825,81.1633996558,81.2646573995
0.438,87.7562935768,83.5691902118,82.365312878,81.6513265555,81.7431095477
0.44,88.0737021526,83.7847722159,82.5338736003,81.8066369728,81.8974567166
0.442,86.0063528286,82.1173347263,80.8384508715,80.0641792482,80.1361736917
0.444,86.4938253346,82.5956960172,81.3823844152,80.6363583083,80.7163129059
0.446,86.6616570275,82.7694984685,81.578328193,80.8387780272,80.9206584295
0.448,88.0302436653,84.1715836614,83.0917551279,82.3645228166,82.4532860121
0.45,87.2878284959,83.4291231562,82.3184143242,81.5926334417,81.6790616526
0.452,87.5973142317,83.762808238,82.6850291538,81.9690467791,82.0587796261
0.454,88.379875471,84.68326773,83.7365217711,83.0604018284,83.161632257
0.456,88.5718800369,84.8910626388,83.948808515,83.2668000845,83.367168622
0.458,89.3904241084,85.6047450906,84.4911788557,83.712537965,83.7952510241
0.46,90.4200262423,86.4972655459,85.2999908922,84.5274301726,84.6178746792
0.462,90.5222539681,86.5747930726,85.3640921677,84.5875048927,84.6772294254
0.464,89.58638644,85.8885174544,84.7343380704,83.9529827503,84.0383823337
0.466,88.099281459,84.6632723648,83.4511399688,82.6199483654,82.6902399438
0.468,86.2222754038,82.7020291242,81.1404430061,80.1549878447,80.1859023264
0.47,84.5707899155,80.5642472659,78.4548134247,77.2579269877,77.2373876397
0.472,83.6675074253,79.252978582,76.794389959,75.4790899822,75.4300282271
0.474,82.9016154347,78.1084327812,75.3920989009,74.0061590821,73.9396296251
0.476,82.9410464326,78.1633894721,75.4535279593,74.0686927672,74.0025192517
0.478,83.0160567538,78.2748618773,75.580961411,74.1992319032,74.1339697942
0.48,83.6797112251,79.3077426894,76.7667702001,75.4137659173,75.3571020491
0.482,82.31764934,77.3100420279,74.6111657784,73.2566885863,73.1946180781
0.484,82.3642909822,77.3716739692,74.6758324213,73.3217874059,73.2600016918
0.486,80.1627056681,74.3628187135,71.495063711,70.1094821955,70.0322111596
0.488,78.8719069269,72.4687071283,69.348290691,67.8758488722,67.7744093175
0.49,78.8214986353,72.3910715275,69.2609064981,67.7863976138,67.6843572802
0.492,78.9405770433,72.5485451777,69.4238691621,67.9485979068,67.8468254785
0.494,78.5310476616,71.9560100458,68.7678686447,67.273258978,67.1655248134
0.496,78.7137584357,72.2017597062,69.0242764137,67.5288491776,67.4215077038
0.498,78.7314378206,72.2211194773,69.043131623,67.5473635364,67.4400068643
0.5,78.6884031064,72.1611912908,68.9795544346,67.4825614586,67.3747343471
0.502,78.8800753315,72.4067374632,69.2354808955,67.7408034121,67.6341800514
0.504,78.6047166608,72.0272572525,68.8194528868,67.3130497555,67.2028137295
0.506,79.5264659671,73.2820740924,70.1726329634,68.6864202905,68.5836941119
0.508,79.1372466918,72.7594968395,69.6232769754,68.135365323,68.0308618164
0.51,78.186959954,71.4469112857,68.1981854303,66.6795868782,66.5645911624
0.512,77.3454667657,70.2790282152,66.9348818622,65.3963608911,65.274022591
0.514,78.6587274186,72.1489427441,68.9868964439,67.492319746,67.3844705817
0.516,78.7338137184,72.2462888884,69.0864034151,67.5906751342,67.4828183973
0.518,77.9717820558,71.2549322072,68.0931840998,66.6093532262,66.5007330549
0.52,75.6962345444,68.4065900586,65.2416641867,63.7661253609,63.6495929258
0.522,75.3735426125,67.9758786985,64.7788290156,63.2911901566,63.1707162709
0.524,77.1070911711,70.4386600926,67.5317145071,66.1377547181,66.0440070048
0.526,79.4390031598,73.6323027487,70.8723513453,69.4548414761,69.3624651415
0.528,77.2056317952,70.670869849,67.8512264868,66.450381659,66.3518370782
0.53,78.020438975,71.8384163079,69.1389503768,67.7773293556,67.6907955236
0.532,76.4132416596,69.6351451527,66.8620413849,65.5252098564,65.4394336583
0.534,74.0393557952,66.2587870792,63.2091876841,61.8038963054,61.6934447643
0.536,73.320103384,65.1978177668,62.0384942095,60.6063716192,60.4874015745
0.538,74.6681498669,67.093331798,64.0104350704,62.5609438508,62.4425797775
0.54,74.8558231882,67.3396183811,64.2539219191,62.7991872326,62.6804708449
0.542,74.8370781723,67.307951591,64.2198762051,62.7644010162,62.6454051707
0.544,75.7714146396,68.5844114905,65.5440799878,64.095392441,63.9815386643
0.546,76.0941387595,69.015058909,65.9831807318,64.5326926906,64.4196726135
0.548,77.5767756287,71.1028385322,68.2038909927,66.787412637,66.6879041999
0.55,76.4979021068,69.6562470462,66.7612398242,65.3757662425,65.279473642
0.552,76.7472204132,69.9956438607,67.1161833856,65.7341522298,65.6396516394
0.554,77.9597343328,71.7373833132,68.9895620883,67.6384729463,67.555375115
0.556,77.9659287632,71.7385451357,68.9888142225,67.6372677227,67.5540825053
0.558,77.7150014075,71.3906406496,68.6384827136,67.2918351708,67.2086558372
0.56,75.6086265142,68.4993593974,65.6523487485,64.289715161,64.1937130061
0.562,78.227678442,72.3563942384,69.8817231011,68.6343670392,68.5743578834
0.564,76.5457828462,70.2368007829,68.0448505165,67.0404476532,67.0357274917
0.566,75.8336797819,69.2915765759,67.107514667,66.1124565536,66.1065739489
0.568,75.7369395714,69.1553750388,66.9671011399,65.9717372991,65.9654238967
0.57,77.2791641375,71.144840812,68.9135216932,67.8684130661,67.8563919476
0.572,76.6020540099,70.2926646827,68.0926559333,67.0670633725,67.0564479672
0.574,75.971217213,69.4453050068,67.2069750722,66.1690162168,66.1530609546
0.576,76.1821957996,69.711759651,67.4718366469,66.4289618735,66.4125915966
0.578,76.8160488692,70.5249198641,68.2901469206,67.2416421275,67.2266140228
0.58,77.4366562593,71.3242865071,69.0992955097,68.0471201718,68.0336945584
0.582,76.7282265849,70.4071903728,68.1727649444,67.126457504,67.1115828335
0.584,77.6207293224,71.5414450524,69.3120627426,68.2568156249,68.2434385835
0.586,78.6103962412,72.7776595183,70.5353368124,69.4633437188,69.4501285106
0.588,78.0173679161,72.1144013531,69.9595248534,68.9325798728,68.9272374808
0.59,78.6787506772,72.9280337691,70.7841754798,69.7632233485,69.7618631734
0.592,79.5322347985,73.9704606225,71.822843715,70.7885839911,70.7869428707
0.594,82.0692015215,77.2712910516,75.2844066509,74.2859571075,74.3015686673
0.596,80.6032480637,75.6660942593,74.0039473543,73.2427302228,73.3144073777
0.598,79.7161300288,74.7034284994,73.1412175409,72.4037592511,72.4749084668
0.6,79.9944366523,75.0179727846,73.4508429512,72.7149260895,72.7876214183
0.602,77.8686090798,72.8028349886,71.4739269331,70.8575378774,70.9508712502
0.604,78.9108661938,73.9622446901,72.6291006206,72.0164950613,72.1148280833
0.606,80.9008034844,76.2226727091,74.9101457729,74.2958937811,74.4006577711
0.608,81.849089502,77.2131522636,75.810298013,75.1426954592,75.2384889886
0.61,81.2641585771,76.5841175522,75.1991796348,74.5363830402,74.6307113801
0.612,82.032466509,77.4521656382,76.0897571028,75.4358458645,75.5349946026
0.614,83.9341565832,79.4413696017,77.9291161244,77.1754127057,77.2574496968
0.616,84.0255836461,79.528887569,78.0055299713,77.2476755134,77.3292397846
0.618,83.1527735509,78.7269018959,77.2916544755,76.5510171471,76.6325862223
0.62,83.2050219261,78.7720791208,77.3314987079,76.5894328928,76.6708487378
0.622,82.0597476736,77.5997084351,76.1006623929,75.3202083379,75.3895273055
0.624,83.7522431802,79.674667069,78.4963238853,77.8468012295,77.9504198011
0.626,83.7760067908,79.6995230163,78.5207929686,77.8704366521,77.9739016479
0.628,85.784747008,81.9215490655,80.732240698,80.060063975,80.1679163101
0.63,87.1695809992,83.364921482,82.0886952083,81.3720895619,81.4750495596
0.632,87.0310004814,83.2251245305,81.958171958,81.2442248532,81.3472034836
0.634,86.5458609584,82.7158147956,81.4476694767,80.7283358707,80.828320119
0.636,87.4745567695,83.6360472203,82.3166408863,81.5724222302,81.6694834832
0.638,87.1717627359,83.3826617172,82.1212523334,81.4010976498,81.5024056408
0.64,87.8717718916,83.9896534105,82.6806083958,81.9633370039,82.0683754601
0.642,89.2296596561,85.2888752153,84.0168673154,83.3410548273,83.4598468318
0.644,88.5140350936,84.6141804253,83.344924066,82.6701284171,82.7872599424
0.646,88.1355285853,84.2385386625,82.9547764007,82.2729536011,82.3872675472
0.648,87.678219893,83.782394097,82.4870039429,81.8023968484,81.9147037675
0.65,87.1450586662,83.2443995247,81.9346953256,81.2461880053,81.3558677262
0.652,85.9443133866,81.9197212231,80.4911345129,79.7577979132,79.8534318723
0.654,84.1662500413,79.9292266502,78.3581392608,77.5914972598,77.6743485065
0.656,83.2317728211,78.7435847228,76.9972419296,76.1705693303,76.2368691915
0.658,83.7891891745,79.4768354293,77.8305232722,77.0307932215,77.1048149981
0.66,83.5263091795,79.1173277452,77.4243676186,76.6138858103,76.684628166
0.662,81.6861725465,76.7550441677,74.9407258183,74.1420700832,74.2090607876
0.664,81.861758,76.9615757713,75.1438787588,74.3409961506,74.4078029818
0.666,82.39816524,77.6134013665,75.8171794439,75.0229880593,75.0941349308
0.668,83.5553420184,78.8746196432,76.9696175113,76.1101435556,76.1699287432
0.67,82.5654303064,77.8989810177,76.1200017726,75.2919045089,75.3530477963
0.672,82.643116373,77.9772605806,76.1962922017,75.3692798484,75.4309837275
0.674,82.5977314469,77.9355610428,76.159175377,75.3337238529,75.395664254
0.676,83.7685353922,79.0792138393,77.3070563586,76.5023553622,76.572972017
