time,N=2,N=20,N=100,N=500,N=1000
0.524,79.5847116697,73.9879652277,71.3054565313,70.8923560412,70.9336572841
0.526,81.5908739076,76.6857258207,74.0680672857,73.6136510368,73.6499674075
0.528,79.6775931108,74.2262417919,71.6317388502,71.2050960122,71.2386131707
0.53,80.3850285423,75.2319144916,72.7348078858,72.3492275052,72.3944894176
0.532,78.9975471879,73.3764806221,70.8708965993,70.5251726809,70.57616587
0.534,76.9269324345,70.4599899374,67.7472372922,67.332562013,67.3611601038
0.536,76.2948741647,69.527789357,66.7219469432,66.2769216207,66.2970650521
0.538,77.4790480152,71.1765767315,68.405141504,67.9382191889,67.9563121867
0.54,77.6439070027,71.3879897344,68.6068713189,68.1336755561,68.1510602791
0.542,77.6287330261,71.3640797345,68.5822308559,68.1086986752,68.1259112766
0.544,78.4460804246,72.4519226469,69.6901807573,69.2245903314,69.2462632637
0.546,78.7284503609,72.8170881066,70.0539511132,69.5862925936,69.6084139205
0.548,80.0242106652,74.5929418653,71.9190766425,71.4884049302,71.5230323315
0.55,79.088372709,73.3982388881,70.7753329135,70.3868740135,70.4285477397
0.552,79.3072823608,73.687440453,71.0728146534,70.687922099,70.7311313697
0.554,80.3695627458,75.1710356059,72.6502151771,72.2977219294,72.3510944107
0.556,80.376292358,75.1756171438,72.6540459362,72.3015343404,72.3549088164
0.558,80.1592284163,74.8914853667,72.3792379676,72.0336217577,72.0877123656
0.56,78.3204924972,72.4824546025,69.9515858262,69.5927100787,69.636904716
0.562,80.6261335984,75.7849360771,73.5460268315,73.3120509204,73.3907867942
0.564,79.1685252802,74.1155328195,72.3511573983,72.5701503053,72.7943907881
0.566,78.5479203766,73.350111158,71.6486753012,71.9121189595,72.1491309283
0.568,78.4645180262,73.2416084797,71.5430404714,71.8095203099,72.0473774465
0.57,79.8095942772,74.8449572018,73.0093356719,73.1830056873,73.3994552597
0.572,79.2232784862,74.175115945,72.4096380875,72.6175478706,72.8407177555
0.574,78.6733294701,73.4873082084,71.7147377943,71.9202874768,72.1422830363
0.576,78.8585511699,73.7047442178,71.920471802,72.1171342231,72.3372185785
0.578,79.4119087302,74.3608036247,72.5527256936,72.7349596252,72.9528623878
0.58,79.953028604,75.0043860212,73.1790934952,73.350023211,73.5663223024
0.582,79.3385368453,74.2753886451,72.4726728571,72.6587148946,72.8773295671
0.584,80.1148038093,75.1800400432,73.344609666,73.5112649745,73.7270275941
0.586,80.9719311358,76.1507127665,74.258719249,74.3956399345,74.6064588279
0.588,80.4654604551,75.6699268106,73.9089116082,74.1181203408,74.3456241114
0.59,81.0371958049,76.2993884364,74.508593948,74.7019945344,74.9259045156
0.592,81.772431855,77.0979982817,75.2556093998,75.4145194462,75.6309222932
0.594,83.9571929099,79.6692323745,77.8545969126,77.998873685,78.2138370778
0.596,82.715097772,78.5639266511,77.3322602983,77.9988694625,78.2138328437
0.598,81.9636568652,77.8976445796,76.825710041,77.521381961,77.7480986455
0.6,82.201802028,78.1269556477,77.0359873193,77.7308735076,77.9558928921
0.602,80.403663839,76.6178838935,75.9041668725,76.8035277344,77.0901256651
0.604,81.2913451738,77.4524501342,76.6813786859,77.5593886791,77.836509712
0.606,82.9797151072,79.0862009549,78.2451128447,79.0850630761,79.3460899799
0.608,83.7763414612,79.7573001432,78.7646653377,79.5102660663,79.7450628396
0.61,83.2870348695,79.3256711399,78.3777365951,79.1395653321,79.3790481934
0.612,83.934446921,79.9483608645,78.9916263624,79.7505860561,79.9875526339
0.614,85.5189669939,81.2869054757,80.067852852,80.6505026697,80.8385919099
0.616,85.5955277271,81.3433673057,80.1081701621,80.686107333,80.8736300769
0.618,84.8806646609,80.8562703968,79.7196678839,80.3091587484,80.4996982126
0.62,84.9243741893,80.8836375043,79.7410291707,80.3284996299,80.5184728932
0.622,83.9809168256,80.1057589106,78.9334541864,79.5034569634,79.6931956067
0.624,85.3990829203,81.6343772574,80.72922628,81.4114782656,81.6199749794
0.626,85.4200452354,81.6538092908,80.7470399577,81.4270240578,81.6347772492
0.628,87.0797599941,83.1714094132,82.1643305358,82.7868490047,82.9814081733
0.63,88.2134676846,84.1093750574,82.9554754351,83.5051380052,83.6809578857
0.632,88.102036093,84.0230453725,82.8822301068,83.435811424,83.6125438385
0.634,87.7079005075,83.6913829434,82.5619823993,83.1150485809,83.2922968371
0.636,88.4613776573,84.2719114,83.0627841894,83.5726936338,83.7381127217
0.638,88.2206438407,84.1397360306,83.019746831,83.572692629,83.738111715
0.64,88.7800352678,84.4810754758,83.3150985773,83.8783904502,84.0452640875
0.642,89.8665370362,85.28002178,84.1434960001,84.7502628337,84.9237782105
0.644,89.2979843245,84.8704834265,83.7436862536,84.3554298797,84.5319041337
0.646,88.9968376772,84.6325790974,83.4958978131,84.1024637216,84.27849184
0.648,88.6327942149,84.3408027433,83.1989324717,83.8054574892,83.982370684
0.65,88.2078849323,83.991893889,82.8437811256,83.449507245,83.627076222
0.652,87.2408110444,83.0763694534,81.8321729486,82.3987743681,82.5698879579
0.654,85.8014091842,81.6757156936,80.3214934263,80.8609801028,81.0297011654
0.656,85.0332154541,80.7827997075,79.2732811576,79.7530096161,79.9105874811
0.658,85.4963654891,81.3523846479,79.9344555836,80.4439528801,80.6067964604
0.66,85.2793279919,81.0755067885,79.6173669979,80.1156424152,80.2765981744
0.662,83.7538957406,79.2726301337,77.7413219992,78.2589725546,78.4274420279
0.664,83.9002213719,79.4274765869,77.8874090644,78.3996506236,78.5669233693
0.666,84.3452994938,79.9164850065,78.3850813936,78.9063253029,79.0755290336
0.668,85.2923291279,80.7885491258,79.0920608623,79.5122361222,79.654578142
0.67,84.4921846315,80.1685938757,78.6224488031,79.0558484177,79.1952125821
0.672,84.5563667138,80.2218664166,78.6732451385,79.1088374612,79.2487547775
0.674,84.5210484737,80.1980571202,78.6542812552,79.0919424295,79.2324328741
0.676,85.4636160558,80.930980643,79.3870570591,79.843089512,79.9867304209
0.678,84.3432624494,80.1221477225,78.6318376038,79.1158237062,79.2679362198
0.68,83.4330106377,79.330329461,77.7698180317,78.2217422724,78.3685213097
0.682,82.2818417234,78.3192291485,76.7044423839,77.149069409,77.2967960144
0.684,81.8124256758,77.9246358654,76.3131144884,76.7658139859,76.9159240311
0.686,83.7552377643,79.8337810706,78.4282523818,78.9600575586,79.1246310383
0.688,84.6347127693,80.4251100144,78.552501332,78.9600613939,79.1246348815
0.69,83.3460703433,79.7020317224,77.8969759517,78.2824220697,78.4614719956
0.692,83.5351301359,79.8520106947,78.0683524816,78.466376932,78.6455098391
0.694,82.2259781617,78.6336040748,76.610608938,76.9050534362,77.077391435
0.696,83.7155367232,80.4100366729,78.8847312768,79.3890933311,79.5910280224
0.698,83.4389396007,80.1221082095,78.5797624318,79.0978487061,79.3070353759
0.7,83.5326826526,80.2153425034,78.6758192624,79.1941311455,79.4028189472
0.702,83.9872104349,80.6559839117,79.1284655341,79.6522394389,79.8590757115
0.704,85.23379901,81.7788345,80.2264993367,80.7404658044,80.9365086605
0.706,85.0085067754,81.6012360023,80.0677314536,80.5878318117,80.7866073875
0.708,83.5776228005,80.2977021615,78.6823149969,79.1415408537,79.3360554787
0.71,83.5959717703,80.316516311,78.7027760459,79.1628188028,79.3574532985
0.712,82.1024991537,78.9490998975,77.405247784,77.9563807778,78.1855883994
0.714,82.9865889985,79.9200519203,78.4791357129,79.0630516057,79.292479866
0.716,84.5593330534,81.5296201368,80.0852913945,80.6090693309,80.8120194485
0.718,85.6853158193,82.5540104106,80.993775715,81.4509041799,81.6336111038
0.72,85.4351077335,82.3427486917,80.8064135988,81.2692923142,81.4541967934
0.722,84.9069687359,81.9253968415,80.4334335236,80.9049895742,81.0943645894
0.724,86.0994628181,82.9294768518,81.4379388363,81.9317765047,82.119974372
0.726,86.3831556039,83.1584926821,81.6586929004,82.1492845068,82.3351370983
0.728,86.8467681816,83.5616931627,82.0789724584,82.5796002697,82.7652794351
0.73,85.5281202036,82.4308910737,80.9323258868,81.4336871058,81.6267452857
0.732,85.0995497368,81.9813391626,80.4172821715,80.8912656959,81.0807655416
0.734,86.2324772993,83.277151172,81.9207023471,82.4694078379,82.6690205669
0.736,87.108840829,84.1229401491,82.6924070941,83.1484254673,83.3186107477
0.738,86.7845925809,83.8486904177,82.4614332246,82.9276455572,83.0992831953
0.74,87.0394531257,84.080855598,82.6905508613,83.1638622219,83.3366570749
0.742,85.8319059411,82.9990742962,81.6272209402,82.0904670684,82.2651132386
0.744,87.9504808573,85.1033151073,83.8837456052,84.4432484629,84.6318173298
0.746,88.6618253797,85.1033184174,83.8837488679,84.4432517474,84.6318206216
0.748,87.5372514959,84.874264979,83.8837437722,84.4432466177,84.6318154805
0.75,86.6974329417,84.5232328718,83.8837400182,84.4432428386,84.6318116929
0.752,87.6833112911,85.1925628452,84.1251287923,84.6229322549,84.7799763062
0.754,87.7877787861,85.2674450632,84.1705998863,84.6658517039,84.8215449685
0.756,87.7751674593,85.2577227058,84.163434741,84.6586276315,84.8144163822
0.758,87.627096463,85.1205330929,84.0397412705,84.5309410331,84.6869282149
0.76,89.3522931531,86.6312484758,85.2578175742,85.6919553136,85.8232438563
0.762,88.5237112974,86.0559044095,85.0183013509,85.6919518691,85.8232404066
0.764,87.6970116006,85.4626876152,84.6141664543,85.2931175955,85.4287794305
0.766,87.599018957,85.3781316004,84.5392773733,85.214722532,85.3501923562
0.768,88.7780178212,86.594799311,85.7768704485,86.5365240094,86.6830308605
0.77,90.1630258753,87.8971797496,86.8888086203,87.5978440982,87.7223626157
0.772,88.4099408981,86.5764542548,86.2084507788,87.1635271179,87.3570481713
0.774,88.5449741842,86.6901899003,86.2971251699,87.2503986707,87.4427963528
0.776,89.3210039667,87.3204258078,86.7854296342,87.7231030023,87.9082313395
0.778,90.0134756742,87.8283905202,87.1349094277,88.0421074659,88.2176200749
0.78,89.8868342117,87.7261635499,87.0483397348,87.9545716749,88.1304553392
