S,V
79.3611,0.0697591
78.6341,0.0711905
78.9145,0.0707177
79.4215,0.0483316
79.2131,0.0521029
80.133,0.0649403
79.3096,0.0551915
80.2483,0.0384973
79.5169,0.0495159
79.8488,0.0601285
80.2145,0.0781375
80.3915,0.0680005
81.2597,0.0533231
80.3245,0.0803614
79.5546,0.0913787
80.7138,0.101476
80.905,0.0728617
80.4733,0.0911922
80.5487,0.066189
79.95,0.0751853
79.0592,0.0973599
79.1981,0.0847719
80.0243,0.0785189
78.197,0.0938649
78.7458,0.0767222
78.6493,0.0778488
79.105,0.079721
79.0895,0.0573955
79.133,0.0630609
79.9671,0.0369663
80.1733,0.0481414
80.4143,0.0673473
80.3554,0.0477374
80.3857,0.0603249
79.8515,0.083186
80.4624,0.0838553
80.7043,0.0766122
80.4853,0.0655701
80.3863,0.0756166
81.0808,0.0671748
81.3247,0.04548
81.1172,0.0733714
80.8452,0.0572207
80.9818,0.0445647
81.1533,0.0502912
81.2649,0.0516372
80.5672,0.0654828
81.5151,0.0571774
81.7039,0.0474463
81.0553,0.0710644
80.9017,0.076136
80.3195,0.0883243
79.1787,0.090628
79.5149,0.0855714
79.8747,0.084939
78.7917,0.0910959
78.76,0.0985902
78.6122,0.0976927
78.1694,0.122354
76.8267,0.111709
78.3471,0.0907652
78.514,0.0923615
78.6336,0.102792
79.7121,0.102839
78.5609,0.101313
78.8132,0.104528
78.2655,0.090741
78.3727,0.0822447
79.1225,0.0904276
78.9003,0.101269
78.9235,0.125486
77.7208,0.117426
78.0874,0.101324
77.3379,0.0872079
76.7774,0.0912554
77.6039,0.0723899
77.7177,0.0599891
77.4253,0.0784168
77.3953,0.0758757
78.4319,0.0746024
77.8115,0.0677615
77.8016,0.0626096
78.2113,0.0596395
77.6751,0.0635477
77.7451,0.0574343
77.7174,0.0726481
77.0354,0.0710814
75.8982,0.0991378
76.4563,0.0797713
76.0683,0.0814891
75.3186,0.0944771
75.5747,0.0626624
75.652,0.0594054
75.8028,0.0630303
76.1338,0.0605307
76.5964,0.0523135
77.2476,0.0403942
77.2999,0.0673641
78.4668,0.0698803
78.4963,0.0638414
78.0258,0.0611065
77.0328,0.0757325
77.1429,0.0802991
77.0149,0.0854168
77.1888,0.0868048
77.8374,0.0821394
77.3406,0.0699104
77.4728,0.0977979
76.1698,0.0786266
75.8152,0.0824085
77.057,0.0583986
77.5404,0.0580712
77.3649,0.0680638
77.8556,0.0507681
78.3389,0.0312076
78.6096,0.0433044
77.9728,0.0550944
78.4642,0.0545744
78.8449,0.0476008
79.0892,0.0525513
79.8265,0.0387598
80.2401,0.0448101
80.7685,0.0396937
80.3152,0.0459558
79.0327,0.0767753
79.5179,0.0972332
79.7709,0.0759644
79.5378,0.0846154
80.6222,0.0934944
79.6727,0.129977
78.4184,0.124364
